
2025/03/23 (02:17:47) | ===> btop++ v.1.4.0
2025/03/23 (02:17:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:21:06) | ===> btop++ v.1.4.0
2025/03/23 (02:21:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:21:21) | ===> btop++ v.1.4.0
2025/03/23 (02:21:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:27:01) | ===> btop++ v.1.4.0
2025/03/23 (02:27:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:29:40) | ===> btop++ v.1.4.0
2025/03/23 (02:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:30:11) | ===> btop++ v.1.4.0
2025/03/23 (02:30:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:30:38) | ===> btop++ v.1.4.0
2025/03/23 (02:30:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:31:09) | ===> btop++ v.1.4.0
2025/03/23 (02:31:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:31:55) | ===> btop++ v.1.4.0
2025/03/23 (02:31:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:32:22) | ===> btop++ v.1.4.0
2025/03/23 (02:32:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:32:59) | ===> btop++ v.1.4.0
2025/03/23 (02:32:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:34:06) | ===> btop++ v.1.4.0
2025/03/23 (02:34:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:34:49) | ===> btop++ v.1.4.0
2025/03/23 (02:34:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:35:01) | ===> btop++ v.1.4.0
2025/03/23 (02:35:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:35:41) | ===> btop++ v.1.4.0
2025/03/23 (02:35:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:10) | ===> btop++ v.1.4.0
2025/03/23 (02:37:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:21) | ===> btop++ v.1.4.0
2025/03/23 (02:37:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:29) | ===> btop++ v.1.4.0
2025/03/23 (02:37:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:37) | ===> btop++ v.1.4.0
2025/03/23 (02:37:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:45) | ===> btop++ v.1.4.0
2025/03/23 (02:37:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:37:56) | ===> btop++ v.1.4.0
2025/03/23 (02:37:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:39:38) | ===> btop++ v.1.4.0
2025/03/23 (02:39:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:40:14) | ===> btop++ v.1.4.0
2025/03/23 (02:40:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:40:40) | ===> btop++ v.1.4.0
2025/03/23 (02:40:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:40:55) | ===> btop++ v.1.4.0
2025/03/23 (02:40:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:41:12) | ===> btop++ v.1.4.0
2025/03/23 (02:41:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:42:00) | ===> btop++ v.1.4.0
2025/03/23 (02:42:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:46:43) | ===> btop++ v.1.4.0
2025/03/23 (02:46:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:49:33) | ===> btop++ v.1.4.0
2025/03/23 (02:49:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:51:15) | ===> btop++ v.1.4.0
2025/03/23 (02:51:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:52:49) | ===> btop++ v.1.4.0
2025/03/23 (02:52:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:55:20) | ===> btop++ v.1.4.0
2025/03/23 (02:55:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:56:52) | ===> btop++ v.1.4.0
2025/03/23 (02:56:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (02:57:28) | ===> btop++ v.1.4.0
2025/03/23 (02:57:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:02:27) | ===> btop++ v.1.4.0
2025/03/23 (03:02:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:02:50) | ===> btop++ v.1.4.0
2025/03/23 (03:02:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:03:09) | ===> btop++ v.1.4.0
2025/03/23 (03:03:09) | WARNING: Intel GPU: Failed to initialize PMU

